brand,count
realme,124
samsung,102
redmi,102
vivo,91
oppo,72
motorola,64
poco,62
infinix,51
itel,47
apple,39
oneplus,38
lava,31
nokia,30
tecno,23
iqoo,20
kechaoda,19
google,15
nothing,10
karbonn,9
xiaomi,8
cmf,6
micromax,4
blackzone,3
i,3
vox,2
jio,2
honor,2
