,price_inr,price_usd,ratings,reviews,RAM (GB),Storage (GB),Display Size (inch),primary camera (MP),battery
price_inr,1.0,0.9999999999946165,0.051651913799940746,0.01764255500428994,0.14141560346260923,0.5502918253325177,0.22426359934410592,0.25431485905854456,-0.42222313101542996
price_usd,0.9999999999946165,1.0,0.05165222036732833,0.017642851445118228,0.14141516543535768,0.5502914851548114,0.22426304207012676,0.2543147282124994,-0.42222357750528083
ratings,0.051651913799940746,0.05165222036732833,1.0,0.958903052829062,-0.5462192024668124,-0.1725882482725557,-0.47043201706703164,-0.40415507835380843,-0.5940918020807407
reviews,0.01764255500428994,0.017642851445118228,0.958903052829062,1.0,-0.5110015744563041,-0.18614335573444094,-0.4489808281786944,-0.40395574123168076,-0.5332163490223971
RAM (GB),0.14141560346260923,0.14141516543535768,-0.5462192024668124,-0.5110015744563041,1.0,0.43709464701942863,0.5634321953918972,0.45075908265150355,0.691232367991884
Storage (GB),0.5502918253325177,0.5502914851548114,-0.1725882482725557,-0.18614335573444094,0.43709464701942863,1.0,0.2466958575240559,0.1644604249110387,-0.04049747285674057
Display Size (inch),0.22426359934410592,0.22426304207012676,-0.47043201706703164,-0.4489808281786944,0.5634321953918972,0.2466958575240559,1.0,0.33629789724419845,0.47467787101315934
primary camera (MP),0.25431485905854456,0.2543147282124994,-0.40415507835380843,-0.40395574123168076,0.45075908265150355,0.1644604249110387,0.33629789724419845,1.0,0.3642232864247316
battery,-0.42222313101542996,-0.42222357750528083,-0.5940918020807407,-0.5332163490223971,0.691232367991884,-0.04049747285674057,0.47467787101315934,0.3642232864247316,1.0
